"","Stage","Date","Distance_km","Type","Winner","Type_general"
"1292","18",1962-07-11,241.5,"Stage with mountain(s)","Emile Daems","mountain"
"1293","19",1962-07-12,204.5,"Stage with mountain(s)","Raymond Poulidor","mountain"
"1294","20",1962-07-13,68,"Individual time trial","Jacques Anquetil","time trial"
"1295","21",1962-07-14,232,"Plain stage","Dino Bruni","flat"
"1296","22",1962-07-15,271,"Plain stage","Rino Benedetti","flat"
"1297","1a",1961-06-25,136.5,"Plain stage","André Darrigade","flat"
"1298","1b",1961-06-25,28.5,"Individual time trial","Jacques Anquetil","time trial"
"1299","2",1961-06-26,230.5,"Plain stage","André Darrigade","flat"
"1300","3",1961-06-27,197.5,"Plain stage","Emile Daems","flat"
"1301","4",1961-06-28,237.5,"Plain stage","Anatole Novak","flat"
"1302","5",1961-06-29,221,"Stage with mountain(s)","Louis Bergaud","mountain"
"1303","6",1961-06-30,180.5,"Stage with mountain(s)","Jozef Planckaert","mountain"
"1304","7",1961-07-01,214.5,"Plain stage","Jean Stablinski","flat"
"1305","8",1961-07-02,240.5,"Stage with mountain(s)","Jean Forestier","mountain"
"1306","9",1961-07-03,230,"Stage with mountain(s)","Charly Gaul","mountain"
"1307","10",1961-07-04,250.5,"Stage with mountain(s)","Guy Ignolin","mountain"
"1308","11",1961-07-05,225,"Stage with mountain(s)","Guido Carlesi","mountain"
"1309","12",1961-07-06,199,"Stage with mountain(s)","Michel Van Aerde","mountain"
"1310","13",1961-07-07,177.5,"Plain stage","André Darrigade","flat"
"1311","14",1961-07-09,174,"Plain stage","Eddy Pauwels","flat"
"1312","15",1961-07-10,206,"Plain stage","Guido Carlesi","flat"
"1313","16",1961-07-11,208,"Stage with mountain(s)","Imerio Massignan","mountain"
"1314","17",1961-07-12,197,"Stage with mountain(s)","Eddy Pauwels","mountain"
"1315","18",1961-07-13,207,"Plain stage","Martin Van Geneugden","flat"
"1316","19",1961-07-14,74.5,"Individual time trial","Jacques Anquetil","time trial"
"1317","20",1961-07-15,309.5,"Plain stage","André Darrigade","flat"
"1318","21",1961-07-16,252.5,"Plain stage","Robert Cazala","flat"
"1319","1a",1960-06-26,108,"Plain stage","Julien Schepens","flat"
"1320","1b",1960-06-26,27.8,"Individual time trial","Roger Rivière","time trial"
"1321","2",1960-06-27,206,"Plain stage","René Privat","flat"
"1322","3",1960-06-28,209,"Plain stage","Nino Defilippis","flat"
"1323","4",1960-06-29,211,"Plain stage","Jean Graczyk","flat"
"1324","5",1960-06-30,189,"Plain stage","André Darrigade","flat"
"1325","6",1960-07-01,191,"Plain stage","Roger Rivière","flat"
"1326","7",1960-07-02,244,"Plain stage","Graziano Battistini","flat"
"1327","8",1960-07-03,240,"Plain stage","Nino Defilippis","flat"
"1328","9",1960-07-04,225,"Plain stage","Martin van Geneugden","flat"
"1329","10",1960-07-05,228,"Stage with mountain(s)","Roger Rivière","mountain"
"1330","11",1960-07-06,161,"Stage with mountain(s)","Kurt Gimmi","mountain"
"1331","12",1960-07-07,176,"Stage with mountain(s)","Jean Graczyk","mountain"
"1332","13",1960-07-08,224,"Plain stage","Louis Proost","flat"
"1333","14",1960-07-10,217,"Stage with mountain(s)","Martin van Geneugden","mountain"
"1334","15",1960-07-11,187,"Stage with mountain(s)","Michel Van Aerde","mountain"
"1335","16",1960-07-12,172,"Stage with mountain(s)","Graziano Battistini","mountain"
"1336","17",1960-07-13,229,"Stage with mountain(s)","Jean Graczyk","mountain"
"1337","18",1960-07-14,215,"Stage with mountain(s)","Fernando Manzaneque","mountain"
"1338","19",1960-07-15,83,"Individual time trial","Rolf Graf","time trial"
"1339","20",1960-07-16,229,"Plain stage","Pierre Beuffeuil","flat"
"1340","21",1960-07-17,200,"Plain stage","Jean Graczyk","flat"
"1341","1",1959-06-25,238,"Plain stage","André Darrigade","flat"
"1342","2",1959-06-26,234,"Plain stage","Vito Favero","flat"
"1343","3",1959-06-27,217,"Plain stage","Robert Cazala","flat"
"1344","4",1959-06-28,230,"Plain stage","Dino Bruni","flat"
"1345","5",1959-06-29,286,"Plain stage","Jean Graczyk","flat"
"1346","6",1959-06-30,45,"Individual time trial","Roger Rivière","time trial"
"1347","7",1959-07-01,190,"Plain stage","Roger Hassenforder","flat"
"1348","8",1959-07-02,201,"Plain stage","Michel Dejouhannet","flat"
"1349","9",1959-07-03,207,"Plain stage","Marcel Queheille","flat"
"1350","10",1959-07-05,235,"Stage with mountain(s)","Marcel Janssens","mountain"
"1351","11",1959-07-06,119,"Stage with mountain(s)","André Darrigade","mountain"
"1352","12",1959-07-07,184,"Plain stage","Rolf Graf","flat"
"1353","13",1959-07-08,219,"Stage with mountain(s)","Henry Anglade","mountain"
"1354","14",1959-07-09,231,"Stage with mountain(s)","André Le Dissez","mountain"
"1355","15",1959-07-10,12,"Mountain time trial","Federico Bahamontes","time trial"
"1356","16",1959-07-11,210,"Plain stage","Dino Bruni","flat"
"1357","17",1959-07-13,197,"Stage with mountain(s)","Charly Gaul","mountain"
"1358","18",1959-07-14,243,"Stage with mountain(s)","Ercole Baldini","mountain"
"1359","19",1959-07-15,251,"Stage with mountain(s)","Rolf Graf","mountain"
"1360","20",1959-07-16,202,"Plain stage","Brian Robinson","flat"
"1361","21",1959-07-17,69,"Individual time trial","Roger Rivière","time trial"
"1362","22",1959-07-18,331,"Plain stage","Joseph Groussard","flat"
"1363","1",1958-06-26,184,"Plain stage","André Darrigade","flat"
"1364","2",1958-06-27,198,"Plain stage","Gerrit Voorting","flat"
"1365","3",1958-06-28,177,"Plain stage","Gilbert Bauvin","flat"
"1366","4",1958-06-29,205,"Plain stage","Jean Gainche","flat"
"1367","5",1958-06-30,232,"Plain stage","Tino Sabbadini","flat"
"1368","6",1958-07-01,223,"Plain stage","Martin van Geneugden","flat"
"1369","7",1958-07-02,170,"Plain stage","Brian Robinson","flat"
"1370","8",1958-07-03,46,"Individual time trial","Charly Gaul","time trial"
"1371","9",1958-07-04,206,"Plain stage","André Darrigade","flat"
"1372","10",1958-07-05,255,"Plain stage","Pierino Baffi","flat"
"1373","11",1958-07-06,137,"Plain stage","Arrigo Padovan","flat"
"1374","12",1958-07-07,161,"Plain stage","Martin van Geneugden","flat"
"1375","13",1958-07-08,230,"Stage with mountain(s)","Louis Bergaud","mountain"
"1376","14",1958-07-09,129,"Stage with mountain(s)","Federico Bahamontes","mountain"
"1377","15",1958-07-10,176,"Stage with mountain(s)","André Darrigade","mountain"
"1378","16",1958-07-11,187,"Plain stage","Pierino Baffi","flat"
"1379","17",1958-07-12,189,"Plain stage","André Darrigade","flat"
"1380","18",1958-07-13,21,"Mountain time trial","Charly Gaul","time trial"
"1381","19",1958-07-14,178,"Stage with mountain(s)","Gastone Nencini","mountain"
"1382","20",1958-07-15,165,"Stage with mountain(s)","Federico Bahamontes","mountain"
"1383","21",1958-07-16,219,"Stage with mountain(s)","Charly Gaul","mountain"
"1384","22",1958-07-17,237,"Stage with mountain(s)","André Darrigade","mountain"
"1385","23",1958-07-18,74,"Individual time trial","Charly Gaul","time trial"
"1386","24",1958-07-19,320,"Plain stage","Pierino Baffi","flat"
"1387","1",1957-06-27,204,"Plain stage","André Darrigade","flat"
"1388","2",1957-06-28,226,"Plain stage","René Privat","flat"
"1389","3a",1957-06-29,15,"Team time trial","France","time trial"
"1390","3b",1957-06-29,134,"Plain stage","Jacques Anquetil","flat"
"1391","4",1957-06-30,232,"Plain stage","Marcel Janssens","flat"
"1392","5",1957-07-01,170,"Plain stage","Gilbert Bauvin","flat"
"1393","6",1957-07-02,248,"Plain stage","André Trochut","flat"
"1394","7",1957-07-03,223,"Stage with mountain(s)","Roger Hassenforder","mountain"
"1395","8",1957-07-04,192,"Plain stage","Pierino Baffi","flat"
"1396","9",1957-07-05,188,"Plain stage","Jacques Anquetil","flat"
"1397","10",1957-07-07,247,"Stage with mountain(s)","Gastone Nencini","mountain"
"1398","11",1957-07-08,286,"Stage with mountain(s)","René Privat","mountain"
"1399","12",1957-07-09,239,"Stage with mountain(s)","Jean Stablinski","mountain"
"1400","13",1957-07-10,160,"Plain stage","Nino Defilippis","flat"
"1401","14",1957-07-11,246,"Plain stage","Roger Hassenforder","flat"
"1402","15a",1957-07-12,197,"Plain stage","René Privat","flat"
"1403","15b",1957-07-12,9.8,"Individual time trial","Jacques Anquetil","time trial"
"1404","16",1957-07-14,220,"Stage with mountain(s)","Jean Bourlès","mountain"
"1405","17",1957-07-15,236,"Stage with mountain(s)","Nino Defilippis","mountain"
"1406","18",1957-07-16,207,"Stage with mountain(s)","Gastone Nencini","mountain"
"1407","19",1957-07-17,194,"Plain stage","Pierino Baffi","flat"
"1408","20",1957-07-18,66,"Individual time trial","Jacques Anquetil","time trial"
"1409","21",1957-07-19,317,"Plain stage","André Darrigade","flat"
"1410","22",1957-07-20,227,"Plain stage","André Darrigade","flat"
"1411","1",1956-07-05,223,"Plain stage","André Darrigade","flat"
"1412","2",1956-07-06,217,"Plain stage","Fred De Bruyne","flat"
"1413","3",1956-07-07,225,"Plain stage","Arigo Padovan","flat"
"1414","4a",1956-07-08,15.1,"Individual time trial","Charly Gaul","time trial"
"1415","4b",1956-07-08,125,"Plain stage","Roger Hassenforder","flat"
"1416","5",1956-07-09,189,"Plain stage","Joseph Morvan","flat"
"1417","6",1956-07-10,192,"Plain stage","Fred De Bruyne","flat"
"1418","7",1956-07-11,244,"Plain stage","Alessandro Fantini","flat"
"1419","8",1956-07-12,180,"Plain stage","Miguel Poblet","flat"
"1420","9",1956-07-13,219,"Plain stage","Roger Hassenforder","flat"
"1421","10",1956-07-15,201,"Plain stage","Fred De Bruyne","flat"
"1422","11",1956-07-16,255,"Stage with mountain(s)","Nino Defilippis","mountain"
"1423","12",1956-07-17,130,"Stage with mountain(s)","Jean-Pierre Schmitz","mountain"
"1424","13",1956-07-18,176,"Stage with mountain(s)","Nino Defilippis","mountain"
"1425","14",1956-07-19,231,"Plain stage","Roger Hassenforder","flat"
"1426","15",1956-07-20,204,"Plain stage","Joseph Thomin","flat"
"1427","16",1956-07-22,203,"Stage with mountain(s)","Jean Forestier","mountain"
"1428","17",1956-07-23,234,"Stage with mountain(s)","Nino Defilippis","mountain"
"1429","18",1956-07-24,250,"Stage with mountain(s)","Charly Gaul","mountain"
"1430","19",1956-07-25,173,"Stage with mountain(s)","Stan Ockers","mountain"
"1431","20",1956-07-26,73,"Individual time trial","Miguel Bover","time trial"
"1432","21",1956-07-27,237,"Stage with mountain(s)","Roger Hassenforder","mountain"
"1433","22",1956-07-28,331,"Plain stage","Gastone Nencini","flat"
"1434","1a",1955-07-07,102,"Plain stage","Miguel Poblet","flat"
"1435","1b",1955-07-07,12.5,"Team time trial","Netherlands","time trial"
"1436","2",1955-07-08,204,"Plain stage","Antonin Rolland","flat"
"1437","3",1955-07-09,210,"Plain stage","Louison Bobet","flat"
"1438","4",1955-07-10,225,"Plain stage","Willy Kemp","flat"
"1439","5",1955-07-11,229,"Plain stage","Roger Hassenforder","flat"
"1440","6",1955-07-12,195,"Plain stage","André Darrigade","flat"
"1441","7",1955-07-13,267,"Plain stage","Jos Hinsen","flat"
"1442","8",1955-07-14,253,"Stage with mountain(s)","Charly Gaul","mountain"
"1443","9",1955-07-15,275,"Stage with mountain(s)","Raphaël Géminiani","mountain"
"1444","10",1955-07-16,240,"Plain stage","Lucien Lazaridès","flat"
"1445","11",1955-07-18,198,"Stage with mountain(s)","Louison Bobet","mountain"
"1446","12",1955-07-19,240,"Stage with mountain(s)","Alessandro Fantini","mountain"
"1447","13",1955-07-20,205,"Plain stage","Daan de Groot","flat"
"1448","14",1955-07-21,156,"Stage with mountain(s)","Louis Caput","mountain"
"1449","15",1955-07-22,151,"Plain stage","Luciano Pezzi","flat"
"1450","16",1955-07-24,123,"Plain stage","Rik Van Steenbergen","flat"
"1451","17",1955-07-25,250,"Stage with mountain(s)","Charly Gaul","mountain"
"1452","18",1955-07-26,205,"Stage with mountain(s)","Jean Brankart","mountain"
"1453","19",1955-07-27,195,"Plain stage","Wout Wagtmans","flat"
"1454","20",1955-07-28,243,"Plain stage","Jean Forestier","flat"
"1455","21",1955-07-29,68.6,"Individual time trial","Jean Brankart","time trial"
"1456","22",1955-07-30,229,"Plain stage","Miguel Poblet","flat"
"1457","1",1954-07-08,216,"Plain stage","Wout Wagtmans","flat"
"1458","2",1954-07-09,255,"Plain stage","Louison Bobet","flat"
"1459","3",1954-07-10,219,"Plain stage","Marcel Dussault","flat"
"1460","4a",1954-07-11,10.4,"Team time trial","Switzerland","time trial"
"1461","4b",1954-07-11,131,"Plain stage","Wim van Est","flat"
"1462","5",1954-07-12,224,"Plain stage","Ferdinand Kübler","flat"
"1463","6",1954-07-13,179,"Plain stage","Dominique Forlini","flat"
"1464","7",1954-07-14,211,"Plain stage","Jacques Vivier","flat"
"1465","8",1954-07-15,190,"Plain stage","Fred De Bruyne","flat"
"1466","9",1954-07-16,343,"Plain stage","Henk Faanhof","flat"
"1467","10",1954-07-18,202,"Plain stage","Gilbert Bauvin","flat"
"1468","11",1954-07-19,241,"Stage with mountain(s)","Stan Ockers","mountain"
"1469","12",1954-07-20,161,"Stage with mountain(s)","Gilbert Bauvin","mountain"
"1470","13",1954-07-21,203,"Plain stage","Fred De Bruyne","flat"
"1471","14",1954-07-22,225,"Stage with mountain(s)","Ferdinand Kübler","mountain"
"1472","15",1954-07-23,197,"Stage with mountain(s)","Dominique Forlini","mountain"
"1473","16",1954-07-24,194,"Stage with mountain(s)","Jean Forestier","mountain"
"1474","17",1954-07-26,182,"Stage with mountain(s)","Lucien Lazaridès","mountain"
"1475","18",1954-07-27,216,"Stage with mountain(s)","Louison Bobet","mountain"
"1476","19",1954-07-28,221,"Stage with mountain(s)","Jean Dotto","mountain"
"1477","20",1954-07-29,243,"Stage with mountain(s)","Lucien Teisseire","mountain"
"1478","21a",1954-07-30,134,"Plain stage","François Mahé","flat"
"1479","21b",1954-07-30,72,"Individual time trial","Louison Bobet","time trial"
"1480","22",1954-07-31,216,"Plain stage","Fred De Bruyne","flat"
"1481","23",1954-08-01,180,"Plain stage","Robert Varnajo","flat"
"1482","1",1953-07-03,195,"Plain stage","Fritz Schär","flat"
"1483","2",1953-07-04,227,"Plain stage","Fritz Schär","flat"
"1484","3",1953-07-05,221,"Plain stage","Stanislas Bober","flat"
"1485","4",1953-07-06,188,"Plain stage","Gerrit Voorting","flat"
"1486","5",1953-07-07,200,"Plain stage","Jean Malléjac","flat"
"1487","6",1953-07-08,206,"Plain stage","Martin Van Geneugden","flat"
"1488","7",1953-07-09,181,"Plain stage","Livio Isotti","flat"
"1489","8",1953-07-10,345,"Plain stage","Jan Nolten","flat"
"1490","9",1953-07-12,197,"Plain stage","Fiorenzo Magni","flat"
"1491","10",1953-07-13,103,"Stage with mountain(s)","Jesús Loroño","mountain"
"1492","11",1953-07-14,115,"Stage with mountain(s)","Jean Robic","mountain"
"1493","12",1953-07-15,228,"Plain stage","André Darrigade","flat"
"1494","13",1953-07-16,189,"Stage with mountain(s)","Nello Lauredi","mountain"
"1495","14",1953-07-17,214,"Stage with mountain(s)","Bernard Quennehen","mountain"
"1496","15",1953-07-18,173,"Plain stage","Maurice Quentin","flat"
"1497","16",1953-07-19,236,"Stage with mountain(s)","Wim van Est","mountain"
"1498","17",1953-07-21,261,"Stage with mountain(s)","Wout Wagtmans","mountain"
"1499","18",1953-07-22,165,"Stage with mountain(s)","Louison Bobet","mountain"
"1500","19",1953-07-23,227,"Stage with mountain(s)","Georges Meunier","mountain"
"1501","20",1953-07-24,70,"Individual time trial","Louison Bobet","time trial"
"1502","21",1953-07-25,210,"Plain stage","Wout Wagtmans","flat"
"1503","22",1953-07-26,328,"Plain stage","Fiorenzo Magni","flat"
"1504","1",1952-06-25,246,"Plain stage","Rik Van Steenbergen","flat"
"1505","2",1952-06-26,181,"Plain stage","André Rosseel","flat"
"1506","3",1952-06-27,189,"Plain stage","Nello Lauredi","flat"
"1507","4",1952-06-28,232,"Plain stage","Pierre Molinéris","flat"
"1508","5",1952-06-29,197,"Plain stage","Jean Diederich","flat"
"1509","6",1952-06-30,228,"Plain stage","Fiorenzo Magni","flat"
"1510","7",1952-07-01,60,"Individual time trial","Fausto Coppi","time trial"
"1511","8",1952-07-02,252,"Stage with mountain(s)","Raphaël Géminiani","mountain"
"1512","9",1952-07-03,238,"Stage with mountain(s)","Walter Diggelmann","mountain"
"1513","10",1952-07-04,266,"Stage with mountain(s)","Fausto Coppi","mountain"
"1514","11",1952-07-06,182,"Stage with mountain(s)","Fausto Coppi","mountain"
"1515","12",1952-07-07,251,"Stage with mountain(s)","Jan Nolten","mountain"
"1516","13",1952-07-08,214,"Plain stage","Raoul Rémy","flat"
"1517","14",1952-07-09,178,"Stage with mountain(s)","Jean Robic","mountain"
"1518","15",1952-07-10,275,"Plain stage","Georges Decaux","flat"
"1519","16",1952-07-11,200,"Plain stage","André Rosseel","flat"
"1520","17",1952-07-13,204,"Stage with mountain(s)","Raphaël Géminiani","mountain"
"1521","18",1952-07-14,149,"Stage with mountain(s)","Fausto Coppi","mountain"
"1522","19",1952-07-15,195,"Plain stage","Hans Dekkers","flat"
"1523","20",1952-07-16,228,"Plain stage","Jacques Vivier","flat"
"1524","21",1952-07-17,245,"Stage with mountain(s)","Fausto Coppi","mountain"
"1525","22",1952-07-18,63,"Individual time trial","Fiorenzo Magni","time trial"
"1526","23",1952-07-19,354,"Plain stage","Antonin Rolland","flat"
"1527","1",1951-07-04,185,"Plain stage","Giovanni Rossi","flat"
"1528","2",1951-07-05,228,"Plain stage","Jean Diederich","flat"
"1529","3",1951-07-06,219,"Plain stage","Georges Meunier","flat"
"1530","4",1951-07-07,188,"Plain stage","Roger Lévêque","flat"
"1531","5",1951-07-08,215,"Plain stage","Serafino Biagioni","flat"
"1532","6",1951-07-09,182,"Plain stage","Édouard Muller","flat"
"1533","7",1951-07-10,85,"Individual time trial","Hugo Koblet","time trial"
"1534","8",1951-07-11,241,"Plain stage","André Rosseel","flat"
"1535","9",1951-07-13,236,"Stage with mountain(s)","Raphaël Géminiani","mountain"
"1536","10",1951-07-14,216,"Stage with mountain(s)","Bernardo Ruiz","mountain"
"1537","11",1951-07-15,177,"Plain stage","Hugo Koblet","flat"
"1538","12",1951-07-16,185,"Plain stage","Wim van Est","flat"
"1539","13",1951-07-17,201,"Stage with mountain(s)","Serafino Biagioni","mountain"
"1540","14",1951-07-18,142,"Stage with mountain(s)","Hugo Koblet","mountain"
"1541","15",1951-07-19,213,"Stage with mountain(s)","André Rosseel","mountain"
"1542","16",1951-07-20,192,"Plain stage","Hugo Koblet","flat"
"1543","17",1951-07-22,224,"Stage with mountain(s)","Louison Bobet","mountain"
"1544","18",1951-07-23,173,"Plain stage","Fiorenzo Magni","flat"
"1545","19",1951-07-24,208,"Stage with mountain(s)","Armand Baeyens","mountain"
"1546","20",1951-07-25,165,"Stage with mountain(s)","Fausto Coppi","mountain"
"1547","21",1951-07-26,201,"Stage with mountain(s)","Bernardo Ruiz","mountain"
"1548","22",1951-07-27,97,"Individual time trial","Hugo Koblet","time trial"
"1549","23",1951-07-28,197,"Stage with mountain(s)","Germain Derijcke","mountain"
"1550","24",1951-07-29,322,"Plain stage","Adolphe Deledda","flat"
"1551","1",1950-07-13,307,"Plain stage","Jean Goldschmit","flat"
"1552","2",1950-07-14,241,"Plain stage","Adolfo Leoni","flat"
"1553","3",1950-07-15,232.5,"Plain stage","Alfredo Pasotti","flat"
"1554","4",1950-07-16,231,"Plain stage","Stan Ockers","flat"
"1555","5",1950-07-17,316,"Plain stage","Giovanni Corrieri","flat"
"1556","6",1950-07-19,78,"Individual time trial","Ferdinand Kübler","time trial"
"1557","7",1950-07-20,248,"Plain stage","Nello Lauredi","flat"
"1558","8",1950-07-21,181,"Plain stage","Fiorenzo Magni","flat"
"1559","9",1950-07-22,206,"Plain stage","Alfredo Pasotti","flat"
"1560","10",1950-07-23,202,"Plain stage","Marcel Dussault","flat"
"1561","11",1950-07-25,230,"Stage with mountain(s)","Gino Bartali","mountain"
"1562","12",1950-07-26,233,"Plain stage","Maurice Blomme","flat"
"1563","13",1950-07-27,215,"Plain stage","Marcel Molinès","flat"
"1564","14",1950-07-28,222,"Plain stage","Custodio Dos Reis","flat"
"1565","15",1950-07-29,205.5,"Stage with mountain(s)","Jean Diederich","mountain"
"1566","16",1950-07-30,96,"Stage with mountain(s)","Ferdinand Kübler","mountain"
"1567","17",1950-08-01,229,"Stage with mountain(s)","Raphaël Géminiani","mountain"
"1568","18",1950-08-02,165,"Stage with mountain(s)","Louison Bobet","mountain"
"1569","19",1950-08-03,291,"Stage with mountain(s)","Raphaël Géminiani","mountain"
"1570","20",1950-08-05,98,"Mountain time trial","Ferdinand Kübler","time trial"
"1571","21",1950-08-06,233,"Plain stage","Gino Sciardis","flat"
"1572","22",1950-08-07,314,"Plain stage","Émile Baffert","flat"
"1573","1",1949-06-30,182,"Plain stage","Marcel Dussault","flat"
"1574","2",1949-07-01,273,"Plain stage","Roger Lambrecht","flat"
"1575","3",1949-07-02,211,"Plain stage","Norbert Callens","flat"
"1576","4",1949-07-03,185,"Plain stage","Lucien Teisseire","flat"
"1577","5",1949-07-04,293,"Plain stage","Ferdinand Kübler","flat"
"1578","6",1949-07-05,305,"Plain stage","Adolphe Deledda","flat"
"1579","7",1949-07-07,92,"Individual time trial","Fausto Coppi","time trial"
"1580","8",1949-07-08,262,"Plain stage","Guy Lapébie","flat"
"1581","9",1949-07-09,228,"Plain stage","Louis Caput","flat"
"1582","10",1949-07-10,192,"Plain stage","Fiorenzo Magni","flat"
"1583","11",1949-07-12,193,"Stage with mountain(s)","Jean Robic","mountain"
"1584","12",1949-07-13,134,"Plain stage","Rik Van Steenbergen","flat"
"1585","13",1949-07-14,289,"Plain stage","Emile Idée","flat"
"1586","14",1949-07-15,199,"Plain stage","Jean Goldschmidt","flat"
"1587","15",1949-07-16,215,"Plain stage","Désiré Keteleer","flat"
"1588","16",1949-07-18,275,"Stage with mountain(s)","Gino Bartali","mountain"
"1589","17",1949-07-19,257,"Stage with mountain(s)","Fausto Coppi","mountain"
"1590","18",1949-07-21,265,"Stage with mountain(s)","Vincenzo Rossello","mountain"
"1591","19",1949-07-22,283,"Stage with mountain(s)","Raphaël Géminiani","mountain"
"1592","20",1949-07-23,137,"Mountain time trial","Fausto Coppi","time trial"
"1593","21",1949-07-24,340,"Plain stage","Rik Van Steenbergen","flat"
"1594","1",1948-06-30,237,"Plain stage","Gino Bartali","flat"
"1595","2",1948-07-01,259,"Plain stage","Vincenzo Rossello","flat"
"1596","3",1948-07-02,251,"Plain stage","Guy Lapébie","flat"
"1597","4",1948-07-03,166,"Plain stage","Jacques Pras","flat"
"1598","5",1948-07-04,262,"Plain stage","Raoul Remy","flat"
"1599","6",1948-07-05,244,"Plain stage","Louison Bobet","flat"
"1600","7",1948-07-07,219,"Stage with mountain(s)","Gino Bartali","mountain"
"1601","8",1948-07-08,261,"Stage with mountain(s)","Gino Bartali","mountain"
"1602","9",1948-07-10,246,"Plain stage","Raymond Impanis","flat"
"1603","10",1948-07-11,248,"Plain stage","Raymond Impanis","flat"
"1604","11",1948-07-12,245,"Plain stage","Gino Sciardis","flat"
"1605","12",1948-07-13,170,"Stage with mountain(s)","Louison Bobet","mountain"
"1606","13",1948-07-15,274,"Stage with mountain(s)","Gino Bartali","mountain"
"1607","14",1948-07-16,263,"Stage with mountain(s)","Gino Bartali","mountain"
"1608","15",1948-07-18,256,"Stage with mountain(s)","Gino Bartali","mountain"
"1609","16",1948-07-19,243,"Stage with mountain(s)","Edward Van Dijck","mountain"
"1610","17",1948-07-21,120,"Individual time trial","Roger Lambrecht","time trial"
"1611","18",1948-07-22,195,"Plain stage","Giovanni Corrieri","flat"
"1612","19",1948-07-23,249,"Plain stage","Gino Bartali","flat"
"1613","20",1948-07-24,228,"Plain stage","Bernard Gauthier","flat"
"1614","21",1948-07-25,286,"Plain stage","Giovanni Corrieri","flat"
"1615","1",1947-06-25,236,"Plain stage","Ferdinand Kübler","flat"
"1616","2",1947-06-26,182,"Plain stage","René Vietto","flat"
"1617","3",1947-06-27,314,"Plain stage","Aldo Ronconi","flat"
"1618","4",1947-06-28,223,"Plain stage","Jean Robic","flat"
"1619","5",1947-06-29,248,"Plain stage","Ferdinand Kübler","flat"
"1620","6",1947-07-01,249,"Plain stage","Lucien Teisseire","flat"
"1621","7",1947-07-02,172,"Stage with mountain(s)","Jean Robic","mountain"
"1622","8",1947-07-03,185,"Stage with mountain(s)","Fermo Camellini","mountain"
"1623","9",1947-07-05,217,"Stage with mountain(s)","René Vietto","mountain"
"1624","10",1947-07-06,255,"Stage with mountain(s)","Fermo Camellini","mountain"
"1625","11",1947-07-08,230,"Plain stage","Édouard Fachleitner","flat"
"1626","12",1947-07-09,165,"Plain stage","Henri Massal","flat"
"1627","13",1947-07-10,172,"Plain stage","Lucien Teisseire","flat"
"1628","14",1947-07-11,253,"Stage with mountain(s)","Albert Bourlon","mountain"
"1629","15",1947-07-13,195,"Stage with mountain(s)","Jean Robic","mountain"
"1630","16",1947-07-14,195,"Plain stage","Giuseppe Tacca","flat"
"1631","17",1947-07-15,272,"Plain stage","Éloi Tassin","flat"
"1632","18",1947-07-16,236,"Plain stage","Pietro Tarchini","flat"
"1633","19",1947-07-18,139,"Individual time trial","Raymond Impanis","time trial"
"1634","20",1947-07-19,235,"Plain stage","Maurice Diot","flat"
"1635","21",1947-07-20,257,"Plain stage","Briek Schotte","flat"
"1636","1",1939-07-10,215,"Plain stage","Amédée Fournier","flat"
"1637","2a",1939-07-11,64,"Individual time trial","Romain Maes","time trial"
"1638","2b",1939-07-11,119,"Plain stage","Éloi Tassin","flat"
"1639","3",1939-07-12,244,"Plain stage","Pierre Cloarec","flat"
"1640","4",1939-07-13,174,"Plain stage","Raymond Louviot","flat"
"1641","5",1939-07-14,207,"Plain stage","Amédée Fournier","flat"
"1642","6a",1939-07-15,144,"Plain stage","Lucien Storme","flat"
"1643","6b",1939-07-15,107,"Plain stage","Edmond Pagès","flat"
"1644","7",1939-07-17,198,"Plain stage","Raymond Passat","flat"
"1645","8a",1939-07-18,210,"Plain stage","Marcel Kint","flat"
"1646","8b",1939-07-18,69,"Individual time trial","Karl Litschi","time trial"
"1647","9",1939-07-19,311,"Stage with mountain(s)","Edward Vissers","mountain"
"1648","10a",1939-07-21,149,"Plain stage","Pierre Jaminet","flat"
"1649","10b",1939-07-21,27,"Individual time trial","Maurice Archambaud","time trial"
"1650","10c",1939-07-21,70,"Plain stage","Maurice Archambaud","flat"
"1651","11",1939-07-22,212,"Plain stage","Fabien Galateau","flat"
"1652","12a",1939-07-23,157,"Plain stage","François Neuens","flat"
"1653","12b",1939-07-23,122,"Plain stage","Maurice Archambaud","flat"
"1654","13",1939-07-24,101,"Stage with mountain(s)","Pierre Gallien","mountain"
"1655","14",1939-07-25,175,"Plain stage","Pierre Cloarec","flat"
"1656","15",1939-07-26,219,"Stage with mountain(s)","Sylvère Maes","mountain"
"1657","16a",1939-07-27,126,"Stage with mountain(s)","Pierre Jaminet","mountain"
"1658","16b",1939-07-27,64,"Mountain time trial","Sylvère Maes","time trial"
"1659","16c",1939-07-27,104,"Plain stage","Antoon van Schendel","flat"
"1660","17a",1939-07-29,226,"Stage with mountain(s)","François Neuens","mountain"
"1661","17b",1939-07-29,59,"Individual time trial","Maurice Archambaud","time trial"
"1662","18a",1939-07-30,151,"Plain stage","René Le Grevès","flat"
"1663","18b",1939-07-30,201,"Plain stage","Marcel Kint","flat"
"1664","1",1938-07-05,215,"Plain stage","Willi Oberbeck","flat"
"1665","2",1938-07-06,237,"Plain stage","Jean Majerus","flat"
"1666","3",1938-07-07,238,"Plain stage","Gerrit Schulte","flat"
